Majority protein IDs	LFQ intensity 10_R1	LFQ intensity 10_R2	LFQ intensity 10_R3	LFQ intensity 11_R1	LFQ intensity 11_R2	LFQ intensity 11_R3	Anotacoes	Unique peptides	Sequence coverage [%]
evm_model_NODE_37_31;OKP11447.1;CEJ56967.1;EPS26712.1	0	0	1822300	0	0	0	Argininosuccinate lyase;Argininosuccinate lyase, C-terminal;Fumarase/histidase, N-terminal;Fumarate lyase family;Fumarate lyase, N-terminal;L-Aspartase-like;argininosuccinate lyase; arginosuccinate lyase; Bcarg4	9	29.5
OKP03817.1;evm_model_NODE_41_39;CEJ54704.1;EPS27429.1	2655800	3807800	3406700	3174000	3682200	3715700	Coproporphyrinogen III oxidase, aerobic;Oxygen-dependent coproporphyrinogen III oxidase superfamily;Coproporphyrinogen III oxidase, aerobic	9	22.8
evm_model_NODE_45_11;OKP02380.1;CEO61051.1	0	0	0	0	549520	695980	GH3;Fibronectin type III-like domain;Glycoside hydrolase family 3 C-terminal domain;Glycoside hydrolase family 3 C-terminal domain superfamily;Glycoside hydrolase superfamily;Glycoside hydrolase, family 3, N-terminal;Glycoside hydrolase, family 3, N-terminal domain superfamily;Glycoside hydrolase, family 3, active site;Immunoglobulin-like fold;putative beta-glucosidase F; Glycoside hydrolase family 3	9	20.7
evm_model_NODE_7_56;OKP13849.1	0	0	0	3016300	2409300	3626500	Domain of unknown function DUF1793;Domain of unknown function DUF4965;Domain of unknown function DUF5127;Glutaminase, putative; glutaminase GtaA; protein of unknown function DUF1793	9	20.9
evm_model_NODE_9_218;OKO98192.1	2178000	1439600	1874900	1501700	1633900	1523100	Methylthioadenosine phosphorylase  (MTAP);Nucleoside phosphorylase domain;Nucleoside phosphorylase superfamily;5'-methylthioadenosine phosphorylase (Meu1), putative	9	38.2
OKO95936.1;evm_model_NODE_21_32;CEJ62039.1;EPS31190.1	0	0	0	892730	1532800	718700	Eukaryotic porin/Tom40;Porin domain superfamily;Porin, eukaryotic type;Outer mitochondrial membrane protein porin	8	40.5
evm_model_NODE_1_379;OKP11396.1	125420000	130270000	119490000	315070000	223740000	288640000	GH7;Concanavalin A-like lectin/glucanase domain superfamily;Glycoside hydrolase family 7, catalytic domain superfamily;Glycoside hydrolase, family 7;Probable 1,4-beta-D-glucan cellobiohydrolase B; AltName: Full=Beta-glucancellobiohydrolase B; AltName: Full=Exocellobiohydrolase B; AltName: Full=Exoglucanase B	8	37.8
evm_model_NODE_1_426	5150200	7834100	6027500	12352000	15882000	13636000	CE16;SGNH hydrolase superfamily;cellulose-binding GDSL lipase/acylhydrolase	8	31.6
evm_model_NODE_1_504;OKO90845.1	26400000	34831000	23623000	53070000	37370000	47448000	GH16;Concanavalin A-like lectin/glucanase domain superfamily;Glycoside hydrolase family 16;Glycoside hydrolase, family 16, CRH1, predicted;cell wall glucanase (Utr2), putative; Glycosyl hydrolases family 16 protein	8	24.7
evm_model_NODE_10_99;OKP14170.1;EPS33452.1;CEO60278.1;KZN85690.1	0	2882900	1275200	0	0	0	AMP-binding enzyme, C-terminal domain;AMP-binding, conserved site;AMP-dependent synthetase/ligase;Acetate-CoA ligase;Acetyl-coenzyme A synthetase, N-terminal domain;acetyl-coenzyme A synthetase; acetate--CoA ligase	8	16.4
evm_model_NODE_18_192;OKP11858.1	4227900	4741000	6529600	5580600	20188000	7572200	GH7;Cellulose-binding domain superfamily;Cellulose-binding domain, fungal;Concanavalin A-like lectin/glucanase domain superfamily;Glycoside hydrolase family 7, catalytic domain superfamily;Glycoside hydrolase, family 7;Exoglucanase 1; AltName: Full=1,4-beta-cellobiohydrolase; AltName: Full=Exocellobiohydrolase I; AltName: Full=Exoglucanase I	8	31.2
evm_model_NODE_2_119	70071000	71755000	58847000	60184000	35271000	43771000	GH47;Glycoside hydrolase family 47;Seven-hairpin glycosidases;Six-hairpin glycosidase-like superfamily;Mannosyl-oligosaccharide alpha-1,2-mannosidase; AltName: Full=Man(9)-alpha-mannosidase	8	48.8
evm_model_NODE_31_100;OKO92310.1	0	0	3632200	1522300	1520800	1785000	AA7;FAD linked oxidase, N-terminal;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD linked oxidase, N-terminal; FAD dependent oxidoreductase, putative	8	27
OKP10979.1;evm_model_NODE_4_265;EPS28895.1;CEJ59190.1	5377400	9867500	12148000	0	3430600	4641500	Uricase;Uricase, conserved site;Uricase; urate oxydase UaZ; urate oxidase UaZ	8	36.5
evm_model_NODE_44_78;OKO95984.1	3276800	2481700	2934000	1284500	938490	1315600	Calcineurin-like phosphoesterase domain, ApaH type;Metallo-dependent phosphatase-like;Sphingomyelin phosphodiesterase;Acid sphingomyelinase, putative; Sphingomyelin phosphodiesterase	8	19.9
evm_model_NODE_44_9	547770	0	348850	0	0	0	AA7;Berberine/berberine-like;FAD linked oxidase, N-terminal;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD linked oxidase, N-terminal; FAD binding oxidoreductase; 6-hydroxy-D-nicotine oxidase	8	29.6
evm_model_NODE_47_63;OKO97862.1	0	3830700	0	2828300	2030700	2905300	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain superfamily;Glutathione S-transferase, C-terminal-like;Glutathione S-transferase, N-terminal;Thioredoxin-like superfamily;Translation elongation factor eEF-1B gamma subunit, putative	8	64.9
evm_model_NODE_56_10;OKO99570.1;CEJ56535.1;EPS29720.1	1986500	1820800	2017000	1001800	1467900	3066100	CRAL-TRIO lipid binding domain;CRAL-TRIO lipid binding domain superfamily;CRAL/TRIO, N-terminal domain;Sec14 cytosolic factor; putative phosphatidylinositol transporter	8	26
OKO98325.1;evm_model_NODE_9_102;EPS33961.1	3717100	3272300	3668200	2503500	2735300	3399700	Glyoxalase I;Glyoxalase I, conserved site;Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase;Glyoxalase/fosfomycin resistance/dioxygenase domain;Vicinal oxygen chelate (VOC) domain;Lactoylglutathione lyase; Glyoxalase I; lactoylglutathione lyase (Glo1), putative	8	29.4
evm_model_NODE_9_117;OKO98305.1	6467700	8607800	7103300	3399000	2980900	3065900	Homogentisate 1,2-dioxygenase;RmlC-like cupin domain superfamily;RmlC-like jelly roll fold;homogentisate 1,2-dioxygenase (HmgA), putative	8	50.3
OKP14639.1;evm_model_NODE_1_698;CEJ56017.1;EPS30013.1;KZN91719.1	1438200	2027500	1706200	892090	714210	897840	Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Serine hydroxymethyltransferase;Serine hydroxymethyltransferase, pyridoxal phosphate binding site;Serine hydroxymethyltransferase; cytosolic serine hydroxymethyltransferase; glycine hydroxymethyltransferase	7	13.2
OKO98924.1;evm_model_NODE_1_23;CEJ56358.1;EPS29950.1;KZN93150.1	0	0	2111600	0	0	0	Nucleophile aminohydrolases, N-terminal;Proteasome alpha-subunit, N-terminal domain;Proteasome alpha-type subunit;Proteasome subunit alpha6;Proteasome, subunit alpha/beta;Proteasome A-type subunit; proteasome subunit alpha type 6; N-terminal nucleophile aminohydrolase	7	29.1
OKO99837.1;evm_model_NODE_3_110;EPS34432.1;CEJ60472.1	11403000	8060700	3863500	14461000	11528000	8812600	Peptidase S8 propeptide/proteinase inhibitor I9;Peptidase S8 propeptide/proteinase inhibitor I9 superfamily;Peptidase S8, subtilisin, His-active site;Peptidase S8, subtilisin, Ser-active site;Peptidase S8, subtilisin-related;Peptidase S8/S53 domain;Peptidase S8/S53 domain superfamily;Subtilisin-like serine protease Pen c 2; AltName: Full=Vacuolar serine protease Pen c 2; AltName: Allergen=Pen c 2; cerevisin precursor	7	21.7
evm_model_NODE_1_10;OKO98909.1	5463300	10855000	7243200	7132600	3527800	3467500	Ubiquitin 3 binding protein But2, C-terminal;GPI anchored cell wall protein, putative	7	41
OKO98926.1;evm_model_NODE_1_25	0	1145000	639690	5498600	5289500	1161200	GH18;Chitinase II;Chitinase insertion domain superfamily;Glycoside hydrolase family 18, catalytic domain;Glycoside hydrolase superfamily;Glycoside hydrolase, chitinase active site;class V chitinase, putative; endochitinase 1 precursor; glycoside hydrolase	7	33.2
OKP00484.1;evm_model_NODE_1_287	0	0	0	0	1366300	2031800	GH64;Glucan endo-1,3-beta-glucosidase;Osmotin/thaumatin-like superfamily;glycoside hydrolase family 64 protein; putative glucanase b protein; Glucan endo-1,3-beta-glucosidase, putative	7	27.7
OKP14781.1;evm_model_NODE_1_425;CEJ55762.1	4504300	4586800	5988800	7344000	17057000	12396000	GH5_5;Glycoside hydrolase superfamily;Glycoside hydrolase, family 5;Probable endo-beta-1,4-glucanase B; Short=Endoglucanase B; AltName: Full=Carboxymethylcellulase B; AltName: Full=Cellulase B; Glycoside hydrolase, superfamily	7	46.5
evm_model_NODE_10_326;OKO92736.1;CEO60045.1;EPS33667.1	515170	1147200	595920	768870	673040	786520	Calreticulin/calnexin;Calreticulin/calnexin, P domain superfamily;Calreticulin/calnexin, conserved site;Concanavalin A-like lectin/glucanase domain superfamily;calnexin; Calreticulin-domain-containing protein; putative calcium-binding protein precursor cnx1	7	16
evm_model_NODE_10_327;OKO92735.1;EPS33668.1;CEO60044.1	0	0	0	822770	312730	0	Aldehyde dehydrogenase domain;Aldehyde dehydrogenase, N-terminal;Aldehyde dehydrogenase, cysteine active site;Aldehyde/histidinol dehydrogenase;Methylmalonate-semialdehyde dehydrogenase;Methylmalonate-semialdehyde dehydrogenase; methylmalonate-semialdehyde dehydrogenase [acylating]	7	17.6
evm_model_NODE_11_34;OKP12041.1	8233600	7738600	9732600	2505600	23210000	6198400	AA7;FAD linked oxidase, N-terminal;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD-binding domain-containing protein; 6-hydroxy-D-nicotine oxidase, putative; FAD-binding oxidoreductase, putative	7	25.5
evm_model_NODE_12_156;OKP10209.1	1374000	2031100	1029200	694760	0	745700	sem anotacao InterPro;DEHA2F08118p-like protein	7	28.9
evm_model_NODE_15_146;OKP12399.1	0	797940	0	0	0	0	NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily;Potassium channel, voltage-dependent, beta subunit, KCNAB-related;Potassium channel, voltage-dependent, beta subunit, KCNAB-like protein	7	28.9
evm_model_NODE_16_17;OKP12169.1	0	0	0	2789900	2751900	2093000	GH6;1, 4-beta cellobiohydrolase;1, 4-beta cellobiohydrolase superfamily;Cellulose-binding domain superfamily;Cellulose-binding domain, fungal;Glycoside hydrolase, family 6, conserved site;putative 1,4-beta-D-glucan cellobiohydrolase C; Probable 1,4-beta-D-glucan cellobiohydrolase C; AltName: Full=Beta-glucancellobiohydrolase C; AltName: Full=Exocellobiohydrolase C; AltName: Full=Exoglucanase C	7	31.4
evm_model_NODE_18_43;OKP15004.1	3174200	7082800	4296800	989030	0	948390	GH62;Glycoside hydrolase, family 62, arabinosidase;Glycosyl hydrolase, five-bladed beta-propellor domain superfamily;Probable alpha-L-arabinofuranosidase axhA; AltName: Full=Arabinoxylan arabinofuranohydrolase axhA	7	40.6
evm_model_NODE_19_176;OKO96457.1	50707000	28384000	45957000	0	11374000	26758000	GH17;Glycoside hydrolase family 17;Glycoside hydrolase superfamily;Probable glucan endo-1,3-beta-glucosidase eglC; AltName: Full=Endo-1,3-beta-glucanase eglC; AltName: Full=Laminarinase eglC; glycoside hydrolase superfamily	7	22.8
evm_model_NODE_20_109;OKO98709.1	0	812520	535450	807730	0	466510	AA7;Berberine/berberine-like;FAD linked oxidase, N-terminal;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD/FMN-containing isoamyl alcohol oxidase MreA-like protein	7	14.9
OKO98767.1;evm_model_NODE_20_54;CEJ56744.1	0	0	0	1124000	2918400	1182700	Fumarylacetoacetase-like, C-terminal;Fumarylacetoacetase-like, C-terminal domain superfamily;Fumarylacetoacetate hydrolase family protein; putative 2-keto-4-pentenoate hydratase protein	7	41.6
evm_model_NODE_23_206;OKP12131.1	403150	374210	597140	10900000	9127300	9847500	GH6;1, 4-beta cellobiohydrolase;1, 4-beta cellobiohydrolase superfamily;Glycoside hydrolase, family 6, conserved site;1, 4-beta cellobiohydrolase; Probable 1,4-beta-D-glucan cellobiohydrolase C; AltName: Full=Beta-glucancellobiohydrolase C; AltName: Full=Exocellobiohydrolase C; AltName: Full=Exoglucanase C	7	28.8
evm_model_NODE_24_89	5440000	8159800	6158800	4409800	3865600	3476900	Cobalamin-independent methionine synthase;Cobalamin-independent methionine synthase MetE, C-terminal/archaeal;Cobalamin-independent methionine synthase MetE, N-terminal;UROD/MetE-like superfamily;homocysteine methyltransferase Met26; 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase; cobalamin-independent methionine synthase	7	44.8
evm_model_NODE_25_67;OKP12939.1	701130	577070	0	0	0	0	Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily;Polyketide synthase, enoylreductase domain;NADP-dependent mannitol dehydrogenase; alcohol dehydrogenase; chlorophyll synthesis pathway protein BchC	7	25
evm_model_NODE_27_123;CEJ56805.1;OKP02854.1	0	897450	0	0	0	0	Cytosolic nonspecific dipeptidase/DUG1;Peptidase M20;Peptidase M20, dimerisation domain;CNDP dipeptidase; Glutamate carboxypeptidase, putative	7	22.2
OKP13346.1;evm_model_NODE_29_166;CEJ58213.1	0	0	0	1198600	600000	982360	Cro/C1-type helix-turn-helix domain;Cyanate hydratase;Cyanate lyase, C-terminal;Cyanate lyase, C-terminal domain superfamily;Cyanate hydratase; Short=Cyanase; AltName: Full=Cyanate hydrolase	7	65
evm_model_NODE_3_194	2277900	1730200	2401800	0	0	2905500	Questin oxidase-like;hypA-like protein; Oxidoreductase AflY; Questin oxidase	7	23
evm_model_NODE_3_212;OKP01004.1;EPS34540.1;CEJ60381.1	15253000	14991000	16304000	21394000	23663000	18847000	Nucleoside diphosphate kinase;Nucleoside diphosphate kinase, active site;Nucleoside diphosphate kinase-like domain;Nucleoside diphosphate kinase-like domain superfamily;nucleoside diphosphate kinase; Nucleoside diphosphate kinase; Short=NDK	7	60.9
evm_model_NODE_3_391;OKP09695.1	1185900	1371300	0	0	967600	0	GH17;Glycoside hydrolase family 17;Glycoside hydrolase superfamily;putative glucan endo-1,3-beta-glucosidase btgC; Probable glucan endo-1,3-beta-glucosidase btgC; AltName: Full=Endo-1,3-beta-glucanase btgC; Glycoside hydrolase, superfamily	7	16.6
evm_model_NODE_37_29;OKP11449.1;CEJ56965.1;KZN87063.1;EPS26710.1	2129300	1494700	2039900	0	854880	0	FAD-dependent oxidoreductase 2, FAD binding domain;FAD/NAD(P)-binding domain superfamily;Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal;Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily;Fumarate reductase/succinate dehydrogenase, FAD-binding site;Succinate dehydrogenase, flavoprotein subunit;Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily;Succinate dehydrogenase/fumarate reductase, flavoprotein subunit;flavo protein subunit of succinate dehydrogenase; succinate dehydrogenase flavoprotein subunit	7	13.8
evm_model_NODE_44_29	6661300	7491200	8323700	3731300	2812200	3724000	PL1_7;Pectate lyase;Pectin lyase fold;Pectin lyase fold/virulence factor;pectate lyase A; polysaccharide lyase family 1 protein; pectin lyase-like protein	7	48.5
OKO99959.1;evm_model_NODE_48_63;CEJ60574.1	0	1276700	0	0	0	0	Alcohol dehydrogenase, N-terminal;Alcohol dehydrogenase, zinc-type, conserved site;GroES-like superfamily;NAD(P)-binding domain superfamily;Polyketide synthase, enoylreductase domain;alcohol dehydrogenase; GroES-like protein; alcohol-dehydrogenase adhA	7	29.3
evm_model_NODE_5_215	507230	714160	0	894570	0	729520	FAD/NAD(P)-binding domain superfamily;FAD/NAD(P)-binding domain-containing protein; amine oxidase; FAD dependent oxidoreductase	7	22.7
evm_model_NODE_50_52;OKO89611.1	0	1138300	0	1428200	1041600	1335100	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase;Amidohydrolase-related;2,3-dihydroxybenzoic acid decarboxylase; Amidohydrolase 2	7	36.1
evm_model_NODE_19_159;CEJ53870.1;KZN94544.1;EPS28180.1;OKO96476.1	0	0	0	417690	157440	0	Nucleophile aminohydrolases, N-terminal;Proteasome alpha-subunit, N-terminal domain;Proteasome alpha-type subunit;Proteasome subunit alpha5;Proteasome, subunit alpha/beta;Proteasome A-type subunit; proteasome component PUP2; proteasome subunit alpha type-5	6	35
KZN87446.1;EPS27269.1;CEJ54862.1;OKO89608.1;evm_model_NODE_50_49	0	0	428450	552270	420720	0	Nucleophile aminohydrolases, N-terminal;Proteasome alpha-subunit, N-terminal domain;Proteasome alpha-type subunit;Proteasome subunit alpha2;Proteasome, subunit alpha/beta;proteasome component Pre8, putative; proteasome subunit alpha type 2-B	6	30.4
OKO90863.1;evm_model_NODE_1_529;CEJ55852.1;EPS30329.1;KZN92099.1	3684100	2380500	3206600	0	0	0	14-3-3 domain;14-3-3 domain superfamily;14-3-3 protein;14-3-3 protein, conserved site;14-3-3 family protein ArtA, putative; DNA damage checkpoint protein Rad24	6	37.2
CEJ59884.1;evm_model_NODE_15_243;OKP12267.1;EPS34987.1	0	3869100	0	0	0	0	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain;Glyceraldehyde 3-phosphate dehydrogenase, active site;Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain;Glyceraldehyde/Erythrose phosphate dehydrogenase family;NAD(P)-binding domain superfamily;glyceraldehyde-3-phosphate dehydrogenase; GPDA glyceraldehyde 3-phosphate dehydrogenase	6	26.1
OKP11024.1;evm_model_NODE_4_110;CEJ60838.1	629240	837640	0	0	0	0	Aminopeptidase, leukotriene A4 hydrolase-like;Leukotriene A4 hydrolase/leucine aminopeptidase;Peptidase M1 LTA-4 hydrolase/aminopeptidase, C-terminal domain superfamily;Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase;Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal;Peptidase M1, membrane alanine aminopeptidase, N-terminal;Peptidase M4/M1, CTD superfamily;Leukotriene A4 hydrolase; Leucine aminopeptidase 2; AltName: Full=Epoxide hydrolase; AltName: Full=Leukotriene A-4 hydrolase homolog	6	10.6
OKP15150.1;evm_model_NODE_4_59;CEJ60893.1;EPS29141.1	0	0	1624000	0	0	0	Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Pyridoxal phosphate-dependent transferase, major domain;Serine hydroxymethyltransferase;Serine hydroxymethyltransferase, pyridoxal phosphate binding site;Serine hydroxymethyltransferase; serine hydroxymethyltransferase, mitochondrial precursor; SHMT-domain-containing protein	6	19.6
OKO98486.1;evm_model_NODE_36_28;EPS26150.1;CEO58377.1;KZN86609.1	0	564590	0	0	0	0	Nucleophile aminohydrolases, N-terminal;Proteasome alpha-subunit, N-terminal domain;Proteasome alpha-type subunit;Proteasome subunit alpha 1;Proteasome, subunit alpha/beta;proteasome component Pre5, putative; proteasome subunit alpha type-1	6	27.9
OKP13204.1;evm_model_NODE_9_265;EPS33820.1;CEO60526.1;KZN85062.1	1033000	852550	864470	0	953770	1393400	Nucleophile aminohydrolases, N-terminal;Proteasome alpha-subunit, N-terminal domain;Proteasome alpha-type subunit;Proteasome beta-type subunit, conserved site;Proteasome subunit alpha4;Proteasome, subunit alpha/beta;Proteasome A-type subunit; Proteasome subunit alpha type; N-terminal nucleophile aminohydrolase	6	36.1
evm_model_NODE_11_231;CEJ58642.1	0	0	0	0	0	316000	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase;Amidohydrolase-related;Metal-dependent hydrolase;2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	6	20.8
evm_model_NODE_14_134;CEJ61782.1	0	0	0	0	1133100	523050	GH31;Galactose mutarotase-like domain superfamily;Glycoside hydrolase family 31;Glycoside hydrolase family 31, N-terminal domain;Glycoside hydrolase superfamily;Glycosyl hydrolase, all-beta;Sugar hydrolase, putative; Alpha-glucosidase; family 31 glycoside hydrolase	6	9.4
evm_model_NODE_14_37	13814000	11006000	15580000	3777600	7863400	7278200		6	45.7
evm_model_NODE_15_219;OKP12317.1	2257100	1563600	1435900	0	0	0	GH27;Aldolase-type TIM barrel;Glycoside hydrolase family 27/36, conserved site;Glycoside hydrolase superfamily;Glycoside hydrolase, family 27;Glycosyl hydrolase, all-beta;Probable alpha-galactosidase B; AltName: Full=Melibiase B; glycoside hydrolase	6	20.2
evm_model_NODE_16_20;OKP12172.1;CEJ58998.1	4835500	7719200	6173500	2821300	2218900	5564500	Adenosylhomocysteinase;Adenosylhomocysteinase-like;NAD(P)-binding domain superfamily;S-adenosyl-L-homocysteine hydrolase, NAD binding domain;S-adenosyl-L-homocysteine hydrolase, conserved site;Adenosylhomocysteinase; S-adenosyl-L-homocysteine hydrolase	6	38.4
OKP12621.1;evm_model_NODE_16_200;KZN88706.1;EPS32319.1;CEJ58834.1	752600	879320	1057300	374590	0	0	AAA+ ATPase domain;ATP synthase, F1 complex, beta subunit;ATPase, F1/V1 complex, beta/alpha subunit, C-terminal;ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain;ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily;ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain;ATPase, alpha/beta subunit, nucleotide-binding domain, active site;P-loop containing nucleoside triphosphate hydrolase;ATPase, F1 complex beta subunit/V1 complex, C-terminal; ATP synthase subunit beta	6	16.9
evm_model_NODE_19_214;OKO96410.1;CEJ53933.1;EPS28128.1	2182200	0	2126700	0	0	0	Aldolase-type TIM barrel;Triosephosphate isomerase;Triosephosphate isomerase superfamily;Triosephosphate isomerase; mitochondrial triosephosphate isomerase	6	26.1
evm_model_NODE_20_74	585380	0	689370	0	0	0	Cytochrome cd1-nitrite reductase-like, haem d1 domain superfamily;Lactonase, 7-bladed beta propeller;WD40/YVTN repeat-like-containing domain superfamily;putative isomerase YbhE; 3-carboxy-cis,cis-mucoante lactonizing enzyme	6	17
evm_model_NODE_23_129;CEJ60679.1;OKP01334.1	1712500	0	0	0	0	493410	Aminotransferase class V domain;Aminotransferase class-V, pyridoxal-phosphate binding site;Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Pyridoxal phosphate-dependent transferase, major domain;Serine-pyruvate aminotransferase/2-aminoethylphosphonate-pyruvate transaminase;alanine-glyoxylate aminotransferase; Serine--pyruvate transaminase	6	25.3
evm_model_NODE_23_32;OKP01444.1	0	704630	0	0	0	636580	Metal-dependent protein hydrolase;Metal-dependent protein hydrolase; UPF0160 domain protein MYG1, putative	6	28.1
evm_model_NODE_23_87	1792700	1732200	1612200	1398000	1172700	1320900	AA9;Glycoside hydrolase, family 61;fungal cellulose binding domain protein; glycoside hydrolase family 61 protein, partial; endoglucanase	6	30.6
evm_model_NODE_26_164;CEJ61105.1	1629800	0	0	3122100	1605600	2143200	Isochorismatase-like;Isochorismatase-like superfamily;putative isochorismatase family hydrolase; hypothetical protein BCIN_16g01330; isochorismatase domain-containing protein 2A, mitochondrial precursor	6	38.5
evm_model_NODE_26_63;OKO97920.1;CEJ62786.1	13066000	24530000	19036000	41730000	54164000	62019000	CE5;Alpha/Beta hydrolase fold;Cutinase/acetylxylan esterase;Acetylxylan esterase 2; AltName: Full=AXE II; carbohydrate esterase; cutinase-domain-containing protein	6	55.6
evm_model_NODE_29_140;OKP11074.1	1171100	960160	818730	0	817540	0	GH43_14;Concanavalin A-like lectin/glucanase domain superfamily;Glycoside hydrolase, family 43;Glycosyl hydrolase, five-bladed beta-propellor domain superfamily;xylosidase/arabinosidase, putative; glycoside hydrolase family 43 protein	6	19
evm_model_NODE_3_261;OKP00950.1;CEJ60340.1	0	0	0	1391500	2305300	1018800	GH71;Peptidase M18;Peptidase M18, domain 2;Vacuolar aspartyl aminopeptidase Lap4, putative	6	15.4
evm_model_NODE_34_45;OKO98639.1;OKP07667.1	0	0	3039900	0	0	0	Alpha/Beta hydrolase fold;Fungal lipase-like domain;Lipase, class 3; Feruloyl esterase A; AltName: Full=Ferulic acid esterase A; Short=FAEA; AltName: Full=Feruloylesterase; alpha/beta-hydrolase	6	24.9
evm_model_NODE_4_136	1242400	1014000	637540	1235700	803770	912650	GH13_1;Alpha amylase;Alpha-amylase, domain of unknown function DUF1966, C-terminal;Glycoside hydrolase superfamily;Glycosyl hydrolase, all-beta;Glycosyl hydrolase, family 13, catalytic domain;putative alpha-amylase; glycoside hydrolase superfamily	6	16.8
evm_model_NODE_4_281;OKP14192.1;CEJ59210.1	2430900	1677800	2356400	0	0	0	6-phosphogluconate dehydrogenase, domain 2;6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily;Mannitol dehydrogenase;Mannitol dehydrogenase, C-terminal;Mannitol dehydrogenase, N-terminal;Mannitol-1-phosphate 5-dehydrogenase;NAD(P)-binding domain superfamily;Mannitol-1-phosphate 5-dehydrogenase; Short=M1PDH; Short=MPD	6	18.5
evm_model_NODE_4_285;OKP14196.1	0	0	0	753790	434670	0	Alpha/Beta hydrolase fold;Peptidase S33 tripeptidyl aminopeptidase-like, C-terminal;alpha/beta-hydrolase; Peptidase S33 tripeptidyl aminopeptidase-like, C-terminal	6	11
evm_model_NODE_46_59	5271300	2881100	3347800	1305400	1483200	0	CE5;Alpha/Beta hydrolase fold;Cutinase, monofunctional;Cutinase/acetylxylan esterase;Cutinase; carbohydrate esterase family 5 protein; alpha/beta-Hydrolase	6	38
evm_model_NODE_5_303;EPS27768.1;OKO93782.1	331750	0	570550	461980	632650	431460	Six-hairpin glycosidase superfamily;glycogen debranching enzyme, partial	6	9.3
evm_model_NODE_54_10	825030000	886600000	939600000	1058700000	893260000	1060000000	GH10;Glycoside hydrolase family 10 domain;Glycoside hydrolase superfamily;Glycosyl hydrolases family 10, active site;Endo-1,4-beta-xylanase A; Short=Xylanase A; AltName: Full=1,4-beta-D-xylan xylanohydrolase A	6	65.3
evm_model_NODE_6_109;OKO90293.1;CEO59758.1	881680	1281800	0	0	0	0	Glutamate decarboxylase;Pyridoxal phosphate-dependent decarboxylase;Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase, major domain;glutamate decarboxylase; Pyridoxal phosphate-dependent transferase, major region, subdomain 1	6	12.4
evm_model_NODE_6_182	3585600	4791600	4132700	0	0	0	AA7;Berberine/berberine-like;FAD linked oxidase, N-terminal;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD linked oxidase, N-terminal; Isoamyl alcohol oxidase, putative	6	17.4
OKO99225.1;evm_model_NODE_7_297;CEJ55344.1	570790	0	1161700	0	0	0	Catalase active site;Catalase core domain;Catalase core domain superfamily;Catalase haem-binding site;Catalase immune-responsive domain;Catalase superfamily;Catalase, mono-functional, haem-containing;Catalase, mono-functional, haem-containing, clade 2;Class I glutamine amidotransferase-like;DJ-1/PfpI;Catalase, mono-functional, heme-containing; Spore-specific catalase CatA	6	11.6
evm_model_NODE_9_68;OKO98361.1	444300	337440	0	0	0	0	GH5_27;Glycoside hydrolase superfamily;Glycoside hydrolase, family 5;Glycosyl hydrolase, all-beta;cellulase, putative; glycoside hydrolase family 5 protein; endoglycoceramidase, putative	6	19.2
evm_model_NODE_1_420;EPS30238.1;CEJ55757.1;OKP14776.1;CEJ55756.1	0	0	0	807310	900810	0	Pyruvate kinase;Pyruvate kinase, C-terminal;Pyruvate kinase, C-terminal domain superfamily;Pyruvate kinase, active site;Pyruvate kinase, insert domain superfamily;Pyruvate kinase-like, insert domain superfamily;Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;pyruvate kinase	5	12.5
